nomen_disciplina;descriptio
deadlift;
romanian deadlift;
sumo deadlift;
stiff leg deadlift;
rack pull;
squat;
bulgarian split squat;
row;
chin-up;
pull-up;
lat pulldown;
bench press;
overhead press;
pullover;
dip;
flye;
push press;
front delt raise;
rear delt raise;
lateral delt raise;
facepull;
shrug;
bicep curl;
preacher curl;
drag curl;
spider curl;
concentration curl;
tricep extension;
tricep kickback;
tricep pushdown;
hanging leg raise;
crunch;
oblique crunch;
front squat;
calfraise;
calf press;
reverse lunge;
leg curl;
leg extension;
leg press;
behind the neck press;
